"ISO","variable","value","typeIneq","variable1"
"OECD","CG_SAYG_ver_ineq",3.76,"vertical","CG_SAYG"
"LTU","CG_SAYG_ver_ineq",2.29,"vertical","CG_SAYG"
"AUS","SW_LIFS_ver_ineq",2,"vertical","SW_LIFS"
"AUT","SW_LIFS_ver_ineq",2.07,"vertical","SW_LIFS"
"BEL","SW_LIFS_ver_ineq",1.87,"vertical","SW_LIFS"
"CAN","SW_LIFS_ver_ineq",1.95,"vertical","SW_LIFS"
"CHL","SW_LIFS_ver_ineq",2.73,"vertical","SW_LIFS"
"CZE","SW_LIFS_ver_ineq",2.48,"vertical","SW_LIFS"
"DNK","SW_LIFS_ver_ineq",1.78,"vertical","SW_LIFS"
"EST","SW_LIFS_ver_ineq",2.85,"vertical","SW_LIFS"
"FIN","SW_LIFS_ver_ineq",1.83,"vertical","SW_LIFS"
"FRA","SW_LIFS_ver_ineq",2.15,"vertical","SW_LIFS"
"DEU","SW_LIFS_ver_ineq",2.16,"vertical","SW_LIFS"
"GRC","SW_LIFS_ver_ineq",4.14,"vertical","SW_LIFS"
"HUN","SW_LIFS_ver_ineq",3.74,"vertical","SW_LIFS"
"ISL","SW_LIFS_ver_ineq",1.97,"vertical","SW_LIFS"
"IRL","SW_LIFS_ver_ineq",2.15,"vertical","SW_LIFS"
"ISR","SW_LIFS_ver_ineq",2.05,"vertical","SW_LIFS"
"ITA","SW_LIFS_ver_ineq",2.44,"vertical","SW_LIFS"
"JPN","SW_LIFS_ver_ineq",2.51,"vertical","SW_LIFS"
"KOR","SW_LIFS_ver_ineq",3.2,"vertical","SW_LIFS"
"LVA","SW_LIFS_ver_ineq",3.08,"vertical","SW_LIFS"
"LUX","SW_LIFS_ver_ineq",1.88,"vertical","SW_LIFS"
"MEX","SW_LIFS_ver_ineq",2.59,"vertical","SW_LIFS"
"NLD","SW_LIFS_ver_ineq",1.58,"vertical","SW_LIFS"
"NZL","SW_LIFS_ver_ineq",1.95,"vertical","SW_LIFS"
"NOR","SW_LIFS_ver_ineq",1.88,"vertical","SW_LIFS"
"POL","SW_LIFS_ver_ineq",2.83,"vertical","SW_LIFS"
"PRT","SW_LIFS_ver_ineq",4.02,"vertical","SW_LIFS"
"SVK","SW_LIFS_ver_ineq",2.8,"vertical","SW_LIFS"
"SVN","SW_LIFS_ver_ineq",2.92,"vertical","SW_LIFS"
"ESP","SW_LIFS_ver_ineq",2.31,"vertical","SW_LIFS"
"SWE","SW_LIFS_ver_ineq",1.92,"vertical","SW_LIFS"
"CHE","SW_LIFS_ver_ineq",1.87,"vertical","SW_LIFS"
"TUR","SW_LIFS_ver_ineq",3.94,"vertical","SW_LIFS"
"GBR","SW_LIFS_ver_ineq",2.23,"vertical","SW_LIFS"
"USA","SW_LIFS_ver_ineq",2.31,"vertical","SW_LIFS"
"OECD","SW_LIFS_ver_ineq",2.46,"vertical","SW_LIFS"
"LTU","SW_LIFS_ver_ineq",2.83,"vertical","SW_LIFS"
"AUS","JE_PE_gender",0.79,"gender","JE_PE"
"AUT","JE_PE_gender",0.78,"gender","JE_PE"
"BEL","JE_PE_gender",0.94,"gender","JE_PE"
"CAN","JE_PE_gender",0.82,"gender","JE_PE"
"CHL","JE_PE_gender",0.87,"gender","JE_PE"
"CZE","JE_PE_gender",0.78,"gender","JE_PE"
"DNK","JE_PE_gender",0.89,"gender","JE_PE"
"EST","JE_PE_gender",1.15,"gender","JE_PE"
"FIN","JE_PE_gender",0.78,"gender","JE_PE"
"FRA","JE_PE_gender",0.81,"gender","JE_PE"
"DEU","JE_PE_gender",0.81,"gender","JE_PE"
"GRC","JE_PE_gender",0.92,"gender","JE_PE"
"HUN","JE_PE_gender",0.83,"gender","JE_PE"
"ISL","JE_PE_gender",0.79,"gender","JE_PE"
"IRL","JE_PE_gender",0.78,"gender","JE_PE"
"ISR","JE_PE_gender",0.73,"gender","JE_PE"
"ITA","JE_PE_gender",0.89,"gender","JE_PE"
"JPN","JE_PE_gender",0.72,"gender","JE_PE"
"KOR","JE_PE_gender",0.64,"gender","JE_PE"
"LVA","JE_PE_gender",0.85,"gender","JE_PE"
"LUX","JE_PE_gender",0.88,"gender","JE_PE"
"MEX","JE_PE_gender",0.88,"gender","JE_PE"
"NLD","JE_PE_gender",0.8,"gender","JE_PE"
"NZL","JE_PE_gender",0.87,"gender","JE_PE"
"NOR","JE_PE_gender",0.86,"gender","JE_PE"
"POL","JE_PE_gender",0.83,"gender","JE_PE"
"PRT","JE_PE_gender",0.88,"gender","JE_PE"
"SVK","JE_PE_gender",0.79,"gender","JE_PE"
"SVN","JE_PE_gender",0.9,"gender","JE_PE"
"ESP","JE_PE_gender",0.93,"gender","JE_PE"
"SWE","JE_PE_gender",0.83,"gender","JE_PE"
"CHE","JE_PE_gender",0.79,"gender","JE_PE"
"TUR","JE_PE_gender",0.94,"gender","JE_PE"
"GBR","JE_PE_gender",0.8,"gender","JE_PE"
"USA","JE_PE_gender",0.76,"gender","JE_PE"
"OECD","JE_PE_gender",0.84,"gender","JE_PE"
"LTU","JE_PE_gender",,"gender","JE_PE"
"AUS","JE_PE_gender",0.7,"gender","JE_PE"
"AUT","JE_PE_gender",0.4,"gender","JE_PE"
"BEL","JE_PE_gender",0.64,"gender","JE_PE"
"CAN","JE_PE_gender",1.06,"gender","JE_PE"
"CHL","JE_PE_gender",0.47,"gender","JE_PE"
"CZE","JE_PE_gender",0.62,"gender","JE_PE"
"DNK","JE_PE_gender",0.55,"gender","JE_PE"
"EST","JE_PE_gender",0.61,"gender","JE_PE"
"FIN","JE_PE_gender",0.45,"gender","JE_PE"
"FRA","JE_PE_gender",,"gender","JE_PE"
"DEU","JE_PE_gender",0.55,"gender","JE_PE"
"GRC","JE_PE_gender",0.76,"gender","JE_PE"
"HUN","JE_PE_gender",0.81,"gender","JE_PE"
"ISL","JE_PE_gender",0.65,"gender","JE_PE"
"IRL","JE_PE_gender",0.66,"gender","JE_PE"
"ISR","JE_PE_gender",0.59,"gender","JE_PE"
"ITA","JE_PE_gender",0.57,"gender","JE_PE"
"JPN","JE_PE_gender",0.32,"gender","JE_PE"
"KOR","JE_PE_gender",0.41,"gender","JE_PE"
"LVA","JE_PE_gender",1,"gender","JE_PE"
"LUX","JE_PE_gender",0.61,"gender","JE_PE"
"MEX","JE_PE_gender",0.62,"gender","JE_PE"
"NLD","JE_PE_gender",0.45,"gender","JE_PE"
"NZL","JE_PE_gender",0.77,"gender","JE_PE"
"NOR","JE_PE_gender",,"gender","JE_PE"
"POL","JE_PE_gender",0.85,"gender","JE_PE"
"PRT","JE_PE_gender",0.63,"gender","JE_PE"
"SVK","JE_PE_gender",0.74,"gender","JE_PE"
"SVN","JE_PE_gender",,"gender","JE_PE"
"ESP","JE_PE_gender",0.57,"gender","JE_PE"
"SWE","JE_PE_gender",,"gender","JE_PE"
"CHE","JE_PE_gender",0.4,"gender","JE_PE"
"TUR","JE_PE_gender",,"gender","JE_PE"
"GBR","JE_PE_gender",0.58,"gender","JE_PE"
"USA","JE_PE_gender",0.71,"gender","JE_PE"
"OECD","JE_PE_gender",0.63,"gender","JE_PE"
"LTU","JE_PE_gender",0.75,"gender","JE_PE"
"AUS","JE_EMPL_gender",0.86,"gender","JE_EMPL"
"AUT","JE_EMPL_gender",0.89,"gender","JE_EMPL"
"BEL","JE_EMPL_gender",0.89,"gender","JE_EMPL"
"CAN","JE_EMPL_gender",0.92,"gender","JE_EMPL"
"CHL","JE_EMPL_gender",0.71,"gender","JE_EMPL"
"CZE","JE_EMPL_gender",0.8,"gender","JE_EMPL"
"DNK","JE_EMPL_gender",0.92,"gender","JE_EMPL"
"EST","JE_EMPL_gender",0.91,"gender","JE_EMPL"
"FIN","JE_EMPL_gender",0.97,"gender","JE_EMPL"
"FRA","JE_EMPL_gender",0.91,"gender","JE_EMPL"
"DEU","JE_EMPL_gender",0.9,"gender","JE_EMPL"
"GRC","JE_EMPL_gender",0.72,"gender","JE_EMPL"
"HUN","JE_EMPL_gender",0.82,"gender","JE_EMPL"
"ISL","JE_EMPL_gender",0.95,"gender","JE_EMPL"
"IRL","JE_EMPL_gender",0.84,"gender","JE_EMPL"
"ISR","JE_EMPL_gender",0.89,"gender","JE_EMPL"
"ITA","JE_EMPL_gender",0.72,"gender","JE_EMPL"
"JPN","JE_EMPL_gender",0.79,"gender","JE_EMPL"
"KOR","JE_EMPL_gender",0.74,"gender","JE_EMPL"
"LVA","JE_EMPL_gender",0.95,"gender","JE_EMPL"
"LUX","JE_EMPL_gender",0.85,"gender","JE_EMPL"
"MEX","JE_EMPL_gender",0.57,"gender","JE_EMPL"
"NLD","JE_EMPL_gender",0.88,"gender","JE_EMPL"
"NZL","JE_EMPL_gender",0.87,"gender","JE_EMPL"
"NOR","JE_EMPL_gender",0.95,"gender","JE_EMPL"
"POL","JE_EMPL_gender",0.82,"gender","JE_EMPL"
"PRT","JE_EMPL_gender",0.91,"gender","JE_EMPL"
"SVK","JE_EMPL_gender",0.81,"gender","JE_EMPL"
"SVN","JE_EMPL_gender",0.88,"gender","JE_EMPL"
"ESP","JE_EMPL_gender",0.84,"gender","JE_EMPL"
"SWE","JE_EMPL_gender",0.96,"gender","JE_EMPL"
"CHE","JE_EMPL_gender",0.9,"gender","JE_EMPL"
"TUR","JE_EMPL_gender",0.44,"gender","JE_EMPL"
"GBR","JE_EMPL_gender",0.88,"gender","JE_EMPL"
"USA","JE_EMPL_gender",0.85,"gender","JE_EMPL"
"OECD","JE_EMPL_gender",0.84,"gender","JE_EMPL"
"LTU","JE_EMPL_gender",0.98,"gender","JE_EMPL"
"AUS","JE_EMP_gender",0.98,"gender","JE_EMP"
"AUT","JE_EMP_gender",1.15,"gender","JE_EMP"
"BEL","JE_EMP_gender",1.17,"gender","JE_EMP"
"CAN","JE_EMP_gender",1.23,"gender","JE_EMP"
"CHL","JE_EMP_gender",0.85,"gender","JE_EMP"
"CZE","JE_EMP_gender",0.7,"gender","JE_EMP"
"DNK","JE_EMP_gender",0.92,"gender","JE_EMP"
"EST","JE_EMP_gender",1.02,"gender","JE_EMP"
"FIN","JE_EMP_gender",1.12,"gender","JE_EMP"
"FRA","JE_EMP_gender",1.09,"gender","JE_EMP"
"DEU","JE_EMP_gender",1.18,"gender","JE_EMP"
"GRC","JE_EMP_gender",0.75,"gender","JE_EMP"
"HUN","JE_EMP_gender",0.94,"gender","JE_EMP"
"ISL","JE_EMP_gender",0.97,"gender","JE_EMP"
"IRL","JE_EMP_gender",1.41,"gender","JE_EMP"
"ISR","JE_EMP_gender",0.95,"gender","JE_EMP"
"ITA","JE_EMP_gender",0.89,"gender","JE_EMP"
"JPN","JE_EMP_gender",1.18,"gender","JE_EMP"
"KOR","JE_EMP_gender",1.06,"gender","JE_EMP"
"LVA","JE_EMP_gender",1.28,"gender","JE_EMP"
"LUX","JE_EMP_gender",0.83,"gender","JE_EMP"
"MEX","JE_EMP_gender",0.95,"gender","JE_EMP"
"NLD","JE_EMP_gender",0.9,"gender","JE_EMP"
"NZL","JE_EMP_gender",0.87,"gender","JE_EMP"
"NOR","JE_EMP_gender",1.14,"gender","JE_EMP"
"POL","JE_EMP_gender",0.95,"gender","JE_EMP"
"PRT","JE_EMP_gender",0.95,"gender","JE_EMP"
"SVK","JE_EMP_gender",0.8,"gender","JE_EMP"
"SVN","JE_EMP_gender",0.8,"gender","JE_EMP"
"ESP","JE_EMP_gender",0.88,"gender","JE_EMP"
"SWE","JE_EMP_gender",1.04,"gender","JE_EMP"
"CHE","JE_EMP_gender",0.97,"gender","JE_EMP"
"TUR","JE_EMP_gender",0.73,"gender","JE_EMP"
"GBR","JE_EMP_gender",1.06,"gender","JE_EMP"
"USA","JE_EMP_gender",1.03,"gender","JE_EMP"
"OECD","JE_EMP_gender",0.99,"gender","JE_EMP"
"LTU","JE_EMP_gender",1.24,"gender","JE_EMP"
"AUS","HS_SFRH_gender",,"gender","HS_SFRH"
"AUT","HS_SFRH_gender",0.86,"gender","HS_SFRH"
"BEL","HS_SFRH_gender",0.84,"gender","HS_SFRH"
"CAN","HS_SFRH_gender",,"gender","HS_SFRH"
"CHL","HS_SFRH_gender",0.67,"gender","HS_SFRH"
"CZE","HS_SFRH_gender",0.89,"gender","HS_SFRH"
"DNK","HS_SFRH_gender",0.87,"gender","HS_SFRH"
"EST","HS_SFRH_gender",0.9,"gender","HS_SFRH"
"FIN","HS_SFRH_gender",0.99,"gender","HS_SFRH"
"FRA","HS_SFRH_gender",0.84,"gender","HS_SFRH"
"DEU","HS_SFRH_gender",0.91,"gender","HS_SFRH"
"GRC","HS_SFRH_gender",0.82,"gender","HS_SFRH"
"HUN","HS_SFRH_gender",0.84,"gender","HS_SFRH"
"ISL","HS_SFRH_gender",0.76,"gender","HS_SFRH"
"IRL","HS_SFRH_gender",0.92,"gender","HS_SFRH"
"ISR","HS_SFRH_gender",,"gender","HS_SFRH"
"ITA","HS_SFRH_gender",0.8,"gender","HS_SFRH"
"JPN","HS_SFRH_gender",0.95,"gender","HS_SFRH"
"KOR","HS_SFRH_gender",0.89,"gender","HS_SFRH"
"LVA","HS_SFRH_gender",0.85,"gender","HS_SFRH"
"LUX","HS_SFRH_gender",0.88,"gender","HS_SFRH"
"MEX","HS_SFRH_gender",,"gender","HS_SFRH"
"NLD","HS_SFRH_gender",0.76,"gender","HS_SFRH"
"NZL","HS_SFRH_gender",,"gender","HS_SFRH"
"NOR","HS_SFRH_gender",0.87,"gender","HS_SFRH"
"POL","HS_SFRH_gender",0.86,"gender","HS_SFRH"
"PRT","HS_SFRH_gender",0.85,"gender","HS_SFRH"
"SVK","HS_SFRH_gender",0.81,"gender","HS_SFRH"
"SVN","HS_SFRH_gender",0.83,"gender","HS_SFRH"
"ESP","HS_SFRH_gender",0.77,"gender","HS_SFRH"
"SWE","HS_SFRH_gender",0.78,"gender","HS_SFRH"
"CHE","HS_SFRH_gender",0.8,"gender","HS_SFRH"
"TUR","HS_SFRH_gender",0.75,"gender","HS_SFRH"
"GBR","HS_SFRH_gender",0.97,"gender","HS_SFRH"
"USA","HS_SFRH_gender",,"gender","HS_SFRH"
"OECD","HS_SFRH_gender",0.85,"gender","HS_SFRH"
"LTU","HS_SFRH_gender",0.82,"gender","HS_SFRH"
"AUS","WL_EWLH_gender",3.03,"gender","WL_EWLH"
"AUT","WL_EWLH_gender",1.66,"gender","WL_EWLH"
"BEL","WL_EWLH_gender",2.08,"gender","WL_EWLH"
"CAN","WL_EWLH_gender",2.87,"gender","WL_EWLH"
"CHL","WL_EWLH_gender",,"gender","WL_EWLH"
"CZE","WL_EWLH_gender",2.81,"gender","WL_EWLH"
"DNK","WL_EWLH_gender",2.38,"gender","WL_EWLH"
"EST","WL_EWLH_gender",1.43,"gender","WL_EWLH"
"FIN","WL_EWLH_gender",2.58,"gender","WL_EWLH"
"FRA","WL_EWLH_gender",1.5,"gender","WL_EWLH"
"DEU","WL_EWLH_gender",2.23,"gender","WL_EWLH"
"GRC","WL_EWLH_gender",1.88,"gender","WL_EWLH"
"HUN","WL_EWLH_gender",2.04,"gender","WL_EWLH"
"ISL","WL_EWLH_gender",1.86,"gender","WL_EWLH"
"IRL","WL_EWLH_gender",1.98,"gender","WL_EWLH"
"ISR","WL_EWLH_gender",,"gender","WL_EWLH"
"ITA","WL_EWLH_gender",1.58,"gender","WL_EWLH"
"JPN","WL_EWLH_gender",,"gender","WL_EWLH"
"KOR","WL_EWLH_gender",,"gender","WL_EWLH"
"LVA","WL_EWLH_gender",1.4,"gender","WL_EWLH"
"LUX","WL_EWLH_gender",1.34,"gender","WL_EWLH"
"MEX","WL_EWLH_gender",,"gender","WL_EWLH"
"NLD","WL_EWLH_gender",1.43,"gender","WL_EWLH"
"NZL","WL_EWLH_gender",,"gender","WL_EWLH"
"NOR","WL_EWLH_gender",3.14,"gender","WL_EWLH"
"POL","WL_EWLH_gender",2.45,"gender","WL_EWLH"
"PRT","WL_EWLH_gender",1.99,"gender","WL_EWLH"
"SVK","WL_EWLH_gender",,"gender","WL_EWLH"
"SVN","WL_EWLH_gender",2.34,"gender","WL_EWLH"
"ESP","WL_EWLH_gender",2.27,"gender","WL_EWLH"
"SWE","WL_EWLH_gender",1.75,"gender","WL_EWLH"
"CHE","WL_EWLH_gender",2.36,"gender","WL_EWLH"
"TUR","WL_EWLH_gender",,"gender","WL_EWLH"
"GBR","WL_EWLH_gender",1.79,"gender","WL_EWLH"
"USA","WL_EWLH_gender",1.91,"gender","WL_EWLH"
"OECD","WL_EWLH_gender",2.08,"gender","WL_EWLH"
"LTU","WL_EWLH_gender",1.47,"gender","WL_EWLH"
"AUS","WL_LEPC_gender",0.99,"gender","WL_LEPC"
"AUT","WL_LEPC_gender",0.98,"gender","WL_LEPC"
"BEL","WL_LEPC_gender",0.98,"gender","WL_LEPC"
"CAN","WL_LEPC_gender",0.98,"gender","WL_LEPC"
"CHL","WL_LEPC_gender",,"gender","WL_LEPC"
"CZE","WL_LEPC_gender",,"gender","WL_LEPC"
"DNK","WL_LEPC_gender",1.01,"gender","WL_LEPC"
"EST","WL_LEPC_gender",0.93,"gender","WL_LEPC"
"FIN","WL_LEPC_gender",0.97,"gender","WL_LEPC"
"FRA","WL_LEPC_gender",0.97,"gender","WL_LEPC"
"DEU","WL_LEPC_gender",0.99,"gender","WL_LEPC"
"GRC","WL_LEPC_gender",,"gender","WL_LEPC"
"HUN","WL_LEPC_gender",0.95,"gender","WL_LEPC"
"ISL","WL_LEPC_gender",,"gender","WL_LEPC"
"IRL","WL_LEPC_gender",0.97,"gender","WL_LEPC"
"ISR","WL_LEPC_gender",,"gender","WL_LEPC"
"ITA","WL_LEPC_gender",0.94,"gender","WL_LEPC"
"JPN","WL_LEPC_gender",1.03,"gender","WL_LEPC"
"KOR","WL_LEPC_gender",0.96,"gender","WL_LEPC"
"LVA","WL_LEPC_gender",,"gender","WL_LEPC"
"LUX","WL_LEPC_gender",,"gender","WL_LEPC"
"MEX","WL_LEPC_gender",0.97,"gender","WL_LEPC"
"NLD","WL_LEPC_gender",1.03,"gender","WL_LEPC"
"NZL","WL_LEPC_gender",1.01,"gender","WL_LEPC"
"NOR","WL_LEPC_gender",1.02,"gender","WL_LEPC"
"POL","WL_LEPC_gender",0.96,"gender","WL_LEPC"
"PRT","WL_LEPC_gender",0.9,"gender","WL_LEPC"
"SVK","WL_LEPC_gender",,"gender","WL_LEPC"
"SVN","WL_LEPC_gender",0.94,"gender","WL_LEPC"
"ESP","WL_LEPC_gender",0.98,"gender","WL_LEPC"
"SWE","WL_LEPC_gender",1,"gender","WL_LEPC"
"CHE","WL_LEPC_gender",,"gender","WL_LEPC"
"TUR","WL_LEPC_gender",0.97,"gender","WL_LEPC"
"GBR","WL_LEPC_gender",0.98,"gender","WL_LEPC"
"USA","WL_LEPC_gender",0.98,"gender","WL_LEPC"
"OECD","WL_LEPC_gender",0.98,"gender","WL_LEPC"
"LTU","WL_LEPC_gender",0.94,"gender","WL_LEPC"
"AUS","ES_EDUA_gender",0.88,"gender","ES_EDUA"
"AUT","ES_EDUA_gender",0.59,"gender","ES_EDUA"
"BEL","ES_EDUA_gender",1.09,"gender","ES_EDUA"
"CAN","ES_EDUA_gender",1.27,"gender","ES_EDUA"
"CHL","ES_EDUA_gender",0.99,"gender","ES_EDUA"
"CZE","ES_EDUA_gender",0.57,"gender","ES_EDUA"
"DNK","ES_EDUA_gender",1.14,"gender","ES_EDUA"
"EST","ES_EDUA_gender",1.61,"gender","ES_EDUA"
"FIN","ES_EDUA_gender",1.58,"gender","ES_EDUA"
"FRA","ES_EDUA_gender",0.91,"gender","ES_EDUA"
"DEU","ES_EDUA_gender",0.78,"gender","ES_EDUA"
"GRC","ES_EDUA_gender",1.13,"gender","ES_EDUA"
"HUN","ES_EDUA_gender",0.82,"gender","ES_EDUA"
"ISL","ES_EDUA_gender",1.03,"gender","ES_EDUA"
"IRL","ES_EDUA_gender",1.32,"gender","ES_EDUA"
"ISR","ES_EDUA_gender",1.13,"gender","ES_EDUA"
"ITA","ES_EDUA_gender",1.1,"gender","ES_EDUA"
"JPN","ES_EDUA_gender",,"gender","ES_EDUA"
"KOR","ES_EDUA_gender",0.62,"gender","ES_EDUA"
"LVA","ES_EDUA_gender",1.9,"gender","ES_EDUA"
"LUX","ES_EDUA_gender",0.95,"gender","ES_EDUA"
"MEX","ES_EDUA_gender",0.98,"gender","ES_EDUA"
"NLD","ES_EDUA_gender",0.92,"gender","ES_EDUA"
"NZL","ES_EDUA_gender",0.92,"gender","ES_EDUA"
"NOR","ES_EDUA_gender",1.04,"gender","ES_EDUA"
"POL","ES_EDUA_gender",1.04,"gender","ES_EDUA"
"PRT","ES_EDUA_gender",1.14,"gender","ES_EDUA"
"SVK","ES_EDUA_gender",0.73,"gender","ES_EDUA"
"SVN","ES_EDUA_gender",0.83,"gender","ES_EDUA"
"ESP","ES_EDUA_gender",1.1,"gender","ES_EDUA"
"SWE","ES_EDUA_gender",1.13,"gender","ES_EDUA"
"CHE","ES_EDUA_gender",0.79,"gender","ES_EDUA"
"TUR","ES_EDUA_gender",0.87,"gender","ES_EDUA"
"GBR","ES_EDUA_gender",0.93,"gender","ES_EDUA"
"USA","ES_EDUA_gender",1.18,"gender","ES_EDUA"
"OECD","ES_EDUA_gender",1.03,"gender","ES_EDUA"
"LTU","ES_EDUA_gender",1.97,"gender","ES_EDUA"
"AUS","ES_STCS_gender",1.02,"gender","ES_STCS"
"AUT","ES_STCS_gender",1.02,"gender","ES_STCS"
"BEL","ES_STCS_gender",1.01,"gender","ES_STCS"
"CAN","ES_STCS_gender",0.99,"gender","ES_STCS"
"CHL","ES_STCS_gender",1.02,"gender","ES_STCS"
"CZE","ES_STCS_gender",0.99,"gender","ES_STCS"
"DNK","ES_STCS_gender",0.99,"gender","ES_STCS"
"EST","ES_STCS_gender",0.99,"gender","ES_STCS"
"FIN","ES_STCS_gender",0.95,"gender","ES_STCS"
"FRA","ES_STCS_gender",0.99,"gender","ES_STCS"
"DEU","ES_STCS_gender",1,"gender","ES_STCS"
"GRC","ES_STCS_gender",0.97,"gender","ES_STCS"
"HUN","ES_STCS_gender",0.99,"gender","ES_STCS"
"ISL","ES_STCS_gender",0.97,"gender","ES_STCS"
"IRL","ES_STCS_gender",1.01,"gender","ES_STCS"
"ISR","ES_STCS_gender",0.99,"gender","ES_STCS"
"ITA","ES_STCS_gender",1.01,"gender","ES_STCS"
"JPN","ES_STCS_gender",1.01,"gender","ES_STCS"
"KOR","ES_STCS_gender",0.96,"gender","ES_STCS"
"LVA","ES_STCS_gender",0.96,"gender","ES_STCS"
"LUX","ES_STCS_gender",1,"gender","ES_STCS"
"MEX","ES_STCS_gender",1,"gender","ES_STCS"
"NLD","ES_STCS_gender",0.99,"gender","ES_STCS"
"NZL","ES_STCS_gender",0.99,"gender","ES_STCS"
"NOR","ES_STCS_gender",0.97,"gender","ES_STCS"
"POL","ES_STCS_gender",0.99,"gender","ES_STCS"
"PRT","ES_STCS_gender",1,"gender","ES_STCS"
"SVK","ES_STCS_gender",0.98,"gender","ES_STCS"
"SVN","ES_STCS_gender",0.97,"gender","ES_STCS"
"ESP","ES_STCS_gender",1,"gender","ES_STCS"
"SWE","ES_STCS_gender",0.97,"gender","ES_STCS"
"CHE","ES_STCS_gender",1,"gender","ES_STCS"
"TUR","ES_STCS_gender",0.98,"gender","ES_STCS"
"GBR","ES_STCS_gender",0.99,"gender","ES_STCS"
"USA","ES_STCS_gender",1,"gender","ES_STCS"
"OECD","ES_STCS_gender",0.99,"gender","ES_STCS"
"LTU","ES_STCS_gender",1.03,"gender","ES_STCS"
"AUS","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"AUT","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"BEL","ES_ADCO_gender",0.96,"gender","ES_ADCO"
"CAN","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"CHL","ES_ADCO_gender",0.94,"gender","ES_ADCO"
"CZE","ES_ADCO_gender",0.98,"gender","ES_ADCO"
"DNK","ES_ADCO_gender",0.98,"gender","ES_ADCO"
"EST","ES_ADCO_gender",0.99,"gender","ES_ADCO"
"FIN","ES_ADCO_gender",0.99,"gender","ES_ADCO"
"FRA","ES_ADCO_gender",0.98,"gender","ES_ADCO"
"DEU","ES_ADCO_gender",0.96,"gender","ES_ADCO"
"GRC","ES_ADCO_gender",1,"gender","ES_ADCO"
"HUN","ES_ADCO_gender",,"gender","ES_ADCO"
"ISL","ES_ADCO_gender",,"gender","ES_ADCO"
"IRL","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"ISR","ES_ADCO_gender",0.98,"gender","ES_ADCO"
"ITA","ES_ADCO_gender",0.98,"gender","ES_ADCO"
"JPN","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"KOR","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"LVA","ES_ADCO_gender",,"gender","ES_ADCO"
"LUX","ES_ADCO_gender",,"gender","ES_ADCO"
"MEX","ES_ADCO_gender",,"gender","ES_ADCO"
"NLD","ES_ADCO_gender",0.96,"gender","ES_ADCO"
"NZL","ES_ADCO_gender",0.98,"gender","ES_ADCO"
"NOR","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"POL","ES_ADCO_gender",1.01,"gender","ES_ADCO"
"PRT","ES_ADCO_gender",,"gender","ES_ADCO"
"SVK","ES_ADCO_gender",1,"gender","ES_ADCO"
"SVN","ES_ADCO_gender",1,"gender","ES_ADCO"
"ESP","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"SWE","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"CHE","ES_ADCO_gender",,"gender","ES_ADCO"
"TUR","ES_ADCO_gender",0.92,"gender","ES_ADCO"
"GBR","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"USA","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"OECD","ES_ADCO_gender",0.97,"gender","ES_ADCO"
"LTU","ES_ADCO_gender",1,"gender","ES_ADCO"
"AUS","SC_SNTWS_gender",0.71,"gender","SC_SNTWS"
"AUT","SC_SNTWS_gender",0.88,"gender","SC_SNTWS"
"BEL","SC_SNTWS_gender",0.75,"gender","SC_SNTWS"
"CAN","SC_SNTWS_gender",1.14,"gender","SC_SNTWS"
"CHL","SC_SNTWS_gender",0.94,"gender","SC_SNTWS"
"CZE","SC_SNTWS_gender",1,"gender","SC_SNTWS"
"DNK","SC_SNTWS_gender",0.5,"gender","SC_SNTWS"
"EST","SC_SNTWS_gender",1,"gender","SC_SNTWS"
"FIN","SC_SNTWS_gender",1.25,"gender","SC_SNTWS"
"FRA","SC_SNTWS_gender",1.09,"gender","SC_SNTWS"
"DEU","SC_SNTWS_gender",0.9,"gender","SC_SNTWS"
"GRC","SC_SNTWS_gender",1.11,"gender","SC_SNTWS"
"HUN","SC_SNTWS_gender",1,"gender","SC_SNTWS"
"ISL","SC_SNTWS_gender",2,"gender","SC_SNTWS"
"IRL","SC_SNTWS_gender",1.67,"gender","SC_SNTWS"
"ISR","SC_SNTWS_gender",0.83,"gender","SC_SNTWS"
"ITA","SC_SNTWS_gender",1.8,"gender","SC_SNTWS"
"JPN","SC_SNTWS_gender",3,"gender","SC_SNTWS"
"KOR","SC_SNTWS_gender",1.18,"gender","SC_SNTWS"
"LVA","SC_SNTWS_gender",1.83,"gender","SC_SNTWS"
"LUX","SC_SNTWS_gender",0.57,"gender","SC_SNTWS"
"MEX","SC_SNTWS_gender",1.33,"gender","SC_SNTWS"
"NLD","SC_SNTWS_gender",0.56,"gender","SC_SNTWS"
"NZL","SC_SNTWS_gender",2.25,"gender","SC_SNTWS"
"NOR","SC_SNTWS_gender",1,"gender","SC_SNTWS"
"POL","SC_SNTWS_gender",1,"gender","SC_SNTWS"
