"ISO","variable","value","typeIneq","variable1"
"SWE","JE_EMPL",75.54,"average","JE_EMPL"
"CHE","JE_EMPL",80.22,"average","JE_EMPL"
"TUR","JE_EMPL",50.19,"average","JE_EMPL"
"GBR","JE_EMPL",73.23,"average","JE_EMPL"
"USA","JE_EMPL",68.71,"average","JE_EMPL"
"OECD","JE_EMPL",66.37,"average","JE_EMPL"
"AUS","JE_PE",51148,"average","JE_PE"
"AUT","JE_PE",45988,"average","JE_PE"
"BEL","JE_PE",48093,"average","JE_PE"
"CAN","JE_PE",48164,"average","JE_PE"
"CHL","JE_PE",,"average","JE_PE"
"CZE","JE_PE",21185,"average","JE_PE"
"DNK","JE_PE",49589,"average","JE_PE"
"EST","JE_PE",21020,"average","JE_PE"
"FIN","JE_PE",40742,"average","JE_PE"
"FRA","JE_PE",40828,"average","JE_PE"
"DEU","JE_PE",43872,"average","JE_PE"
"GRC","JE_PE",26436,"average","JE_PE"
"HUN","JE_PE",21399,"average","JE_PE"
"ISL","JE_PE",,"average","JE_PE"
"IRL","JE_PE",53286,"average","JE_PE"
"ISR","JE_PE",29635,"average","JE_PE"
"ITA","JE_PE",34744,"average","JE_PE"
"JPN","JE_PE",35672,"average","JE_PE"
"KOR","JE_PE",36653,"average","JE_PE"
"LVA","JE_PE",,"average","JE_PE"
"LUX","JE_PE",61511,"average","JE_PE"
"MEX","JE_PE",12850,"average","JE_PE"
"NLD","JE_PE",51003,"average","JE_PE"
"NZL","JE_PE",,"average","JE_PE"
"NOR","JE_PE",51718,"average","JE_PE"
"POL","JE_PE",23649,"average","JE_PE"
"PRT","JE_PE",23977,"average","JE_PE"
"SVK","JE_PE",22151,"average","JE_PE"
"SVN","JE_PE",33068,"average","JE_PE"
"ESP","JE_PE",36013,"average","JE_PE"
"SWE","JE_PE",40994,"average","JE_PE"
"CHE","JE_PE",57082,"average","JE_PE"
"TUR","JE_PE",,"average","JE_PE"
"GBR","JE_PE",41659,"average","JE_PE"
"USA","JE_PE",57139,"average","JE_PE"
"OECD","JE_PE",44982,"average","JE_PE"
"AUS","JE_LTUR",1.42,"average","JE_LTUR"
"AUT","JE_LTUR",1.67,"average","JE_LTUR"
"BEL","JE_LTUR",4.39,"average","JE_LTUR"
"CAN","JE_LTUR",0.8,"average","JE_LTUR"
"CHL","JE_LTUR",,"average","JE_LTUR"
"CZE","JE_LTUR",2.44,"average","JE_LTUR"
"DNK","JE_LTUR",1.66,"average","JE_LTUR"
"EST","JE_LTUR",2.36,"average","JE_LTUR"
"FIN","JE_LTUR",2.32,"average","JE_LTUR"
"FRA","JE_LTUR",4.59,"average","JE_LTUR"
"DEU","JE_LTUR",2.03,"average","JE_LTUR"
"GRC","JE_LTUR",18.2,"average","JE_LTUR"
"HUN","JE_LTUR",3.18,"average","JE_LTUR"
"ISL","JE_LTUR",0.64,"average","JE_LTUR"
"IRL","JE_LTUR",5.6,"average","JE_LTUR"
"ISR","JE_LTUR",0.6,"average","JE_LTUR"
"ITA","JE_LTUR",7.01,"average","JE_LTUR"
"JPN","JE_LTUR",1.19,"average","JE_LTUR"
"KOR","JE_LTUR",0.01,"average","JE_LTUR"
"LVA","JE_LTUR",4.49,"average","JE_LTUR"
"LUX","JE_LTUR",1.9,"average","JE_LTUR"
"MEX","JE_LTUR",0.05,"average","JE_LTUR"
"NLD","JE_LTUR",3,"average","JE_LTUR"
"NZL","JE_LTUR",0.76,"average","JE_LTUR"
"NOR","JE_LTUR",0.51,"average","JE_LTUR"
"POL","JE_LTUR",2.95,"average","JE_LTUR"
"PRT","JE_LTUR",7.14,"average","JE_LTUR"
"SVK","JE_LTUR",7.14,"average","JE_LTUR"
"SVN","JE_LTUR",4.69,"average","JE_LTUR"
"ESP","JE_LTUR",11.38,"average","JE_LTUR"
"SWE","JE_LTUR",1.3,"average","JE_LTUR"
"CHE","JE_LTUR",1.75,"average","JE_LTUR"
"TUR","JE_LTUR",2.18,"average","JE_LTUR"
"GBR","JE_LTUR",1.7,"average","JE_LTUR"
"USA","JE_LTUR",0.99,"average","JE_LTUR"
"OECD","JE_LTUR",2.32,"average","JE_LTUR"
"AUS","HO_NUMR",2.33,"average","HO_NUMR"
"AUT","HO_NUMR",1.6,"average","HO_NUMR"
"BEL","HO_NUMR",2.2,"average","HO_NUMR"
"CAN","HO_NUMR",2.52,"average","HO_NUMR"
"CHL","HO_NUMR",1.89,"average","HO_NUMR"
"CZE","HO_NUMR",1.4,"average","HO_NUMR"
"DNK","HO_NUMR",1.9,"average","HO_NUMR"
"EST","HO_NUMR",1.6,"average","HO_NUMR"
"FIN","HO_NUMR",1.9,"average","HO_NUMR"
"FRA","HO_NUMR",1.8,"average","HO_NUMR"
"DEU","HO_NUMR",1.8,"average","HO_NUMR"
"GRC","HO_NUMR",1.2,"average","HO_NUMR"
